
 TypeError: Cannot set properties of undefined (setting 'latitude') || Mon Oct 31 2022 16:36:46 GMT+0530 (India Standard Time)
 ReferenceError: otp is not defined || Mon Oct 31 2022 16:56:18 GMT+0530 (India Standard Time)
 TypeError: Cannot read properties of undefined (reading 'name') || Tue Nov 01 2022 14:31:47 GMT+0530 (India Standard Time)
 ReferenceError: newArticle is not defined || Tue Nov 01 2022 14:34:08 GMT+0530 (India Standard Time)
 ReferenceError: newArticle is not defined || Tue Nov 01 2022 14:34:47 GMT+0530 (India Standard Time)
 CastError: Cast to embedded failed for value "635b9c63d7ee5f10da941718" (type string) at path "my_sports" because of "ObjectParameterError" || Tue Nov 01 2022 15:11:23 GMT+0530 (India Standard Time)
 CastError: Cast to embedded failed for value "635b9c63d7ee5f10da941718" (type string) at path "my_sports" because of "ObjectParameterError" || Tue Nov 01 2022 15:13:56 GMT+0530 (India Standard Time)
 CastError: Cast to embedded failed for value "635b9c63d7ee5f10da941718" (type string) at path "my_sports" because of "ObjectParameterError" || Tue Nov 01 2022 15:18:47 GMT+0530 (India Standard Time)
 CastError: Cast to embedded failed for value "635b9c63d7ee5f10da941718" (type string) at path "my_sports" because of "ObjectParameterError" || Tue Nov 01 2022 15:19:22 GMT+0530 (India Standard Time)
 CastError: Cast to embedded failed for value "635b9c63d7ee5f10da941718" (type string) at path "my_sports" because of "ObjectParameterError" || Tue Nov 01 2022 16:16:51 GMT+0530 (India Standard Time)
 ObjectParameterError: Parameter "obj" to Document() must be an object, got 635b9c63d7ee5f10da941718 || Tue Nov 01 2022 16:54:42 GMT+0530 (India Standard Time)
 ObjectParameterError: Parameter "obj" to Document() must be an object, got 635b9c63d7ee5f10da941718 || Tue Nov 01 2022 16:55:04 GMT+0530 (India Standard Time)
 ObjectParameterError: Parameter "obj" to Document() must be an object, got 635b9c63d7ee5f10da941718 || Tue Nov 01 2022 16:55:35 GMT+0530 (India Standard Time)
 ObjectParameterError: Parameter "obj" to Document() must be an object, got 635b9c63d7ee5f10da941718 || Tue Nov 01 2022 16:55:45 GMT+0530 (India Standard Time)
 ObjectParameterError: Parameter "obj" to Document() must be an object, got 635b9c63d7ee5f10da941718 || Tue Nov 01 2022 16:57:53 GMT+0530 (India Standard Time)
 CastError: Cast to embedded failed for value "new ObjectId("635b9c63d7ee5f10da941718")" (type ObjectId) at path "my_sports" because of "CastError" || Tue Nov 01 2022 16:59:21 GMT+0530 (India Standard Time)
 MongoServerError: Plan executor error during findAndModify :: caused by :: Cannot create field 'level' in element {my_sports: []} || Tue Nov 01 2022 17:01:37 GMT+0530 (India Standard Time)
